success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,stimulus,response,task,word,condition,list,question_order,correct_answer,correct,file_name
TRUE,973901,fullscreen,0,2.1.0,974925,p05ywlxguyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,555,html-keyboard-response,1,2.0.0,975483,p05ywlxguyt,Welcome to the False Recall experiment. <p>Press any key to begin.</p>,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,4618,survey-text,2,2.0.0,980105,p05ywlxguyt,NA,"{""participant_id"":""seal""}",NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,4107,html-keyboard-response,3,2.0.0,984214,p05ywlxguyt,"<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
",NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,4,2.1.1,1013199,p05ywlxguyt,stimuli/Cogs 119 List 1.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,13658,survey-text,5,2.0.0,1027866,p05ywlxguyt,NA,"{""Q0"":""chair"",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,6,2.1.1,1055496,p05ywlxguyt,stimuli/Cogs 119 List 4.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,62763,survey-text,7,2.0.0,1119267,p05ywlxguyt,NA,"{""Q0"":""smooth"",""Q1"":""sand"",""Q2"":""gravel"",""Q3"":""bumpy"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,8,2.1.1,1145542,p05ywlxguyt,stimuli/Cogs 119 List 3.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,17466,survey-text,9,2.0.0,1164016,p05ywlxguyt,NA,"{""Q0"":""knitting"",""Q1"":""cloth"",""Q2"":""nimble"",""Q3"":""texture"",""Q4"":""wool"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,10,2.1.1,1191029,p05ywlxguyt,stimuli/Cogs 119 List 2.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,15402,survey-text,11,2.0.0,1207440,p05ywlxguyt,NA,"{""Q0"":""top"",""Q1"":""peak"",""Q2"":""mountain"",""Q3"":""speak"",""Q4"":""pain"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,12,2.1.1,1234323,p05ywlxguyt,stimuli/Cogs 119 List 5.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,25300,survey-text,13,2.0.0,1260631,p05ywlxguyt,NA,"{""Q0"":""bed"",""Q1"":""nap"",""Q2"":""rest"",""Q3"":""dream"",""Q4"":""wake"",""Q5"":""blanket"",""Q6"":""drowsy"",""Q7"":""peace"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,audio-keyboard-response,14,2.1.1,1286770,p05ywlxguyt,stimuli/Cogs 119 List 6.wav,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,11166,survey-text,15,2.0.0,1298944,p05ywlxguyt,NA,"{""Q0"":""sour"",""Q1"":""sweet"",""Q2"":""candy"",""Q3"":""tart"",""Q4"":""cake"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,9515,html-keyboard-response,16,2.0.0,1308460,p05ywlxguyt,"<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
",NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,3935,survey-likert,17,2.0.0,1312399,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Couch,studied,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2613,survey-likert,18,2.0.0,1315015,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Shoe,unrelated,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,3313,survey-likert,19,2.0.0,1318330,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Ball,unrelated,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2433,survey-likert,20,2.0.0,1320764,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Chair,critical,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1614,survey-likert,21,2.0.0,1322381,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Table,studied,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1897,survey-likert,22,2.0.0,1324281,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Floor,weakly related,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2164,survey-likert,23,2.0.0,1326447,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Cushion,weakly related,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2465,survey-likert,24,2.0.0,1328915,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Chalk,weakly related,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1980,survey-likert,25,2.0.0,1330897,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Smooth,studied,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2115,survey-likert,26,2.0.0,1333014,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Spike,weakly related,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2747,survey-likert,27,2.0.0,1335764,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Project,unrelated,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2732,survey-likert,28,2.0.0,1338497,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Rough,critical,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2015,survey-likert,29,2.0.0,1340514,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Key,unrelated,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1614,survey-likert,30,2.0.0,1342131,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Touch,studied,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2348,survey-likert,31,2.0.0,1344481,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Click: Definitely New,attention_check,none,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,82747,survey-likert,32,2.0.0,1427228,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Thread,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2467,survey-likert,33,2.0.0,1429697,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Needle,critical,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2697,survey-likert,34,2.0.0,1432396,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Stop,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1764,survey-likert,35,2.0.0,1434163,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Stitch,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1699,survey-likert,36,2.0.0,1435864,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Pin,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1780,survey-likert,37,2.0.0,1437647,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Fast,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,41948,survey-likert,38,2.0.0,1479596,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Splinter,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1814,survey-likert,39,2.0.0,1481413,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Peak,studied,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1647,survey-likert,40,2.0.0,1483063,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Draw,unrelated,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1765,survey-likert,41,2.0.0,1484830,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Mountain,critical,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1647,survey-likert,42,2.0.0,1486479,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Hill,studied,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1814,survey-likert,43,2.0.0,1488295,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Snow,weakly related,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,3033,survey-likert,44,2.0.0,1491329,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Hike,weakly related,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1449,survey-likert,45,2.0.0,1492780,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Car,unrelated,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1680,survey-likert,46,2.0.0,1494462,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sleep,critical,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2781,survey-likert,47,2.0.0,1497246,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Fish,unrelated,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1765,survey-likert,48,2.0.0,1499013,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Calm,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1598,survey-likert,49,2.0.0,1500613,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Coma,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1581,survey-likert,50,2.0.0,1502196,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Bed,studied,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,3631,survey-likert,51,2.0.0,1505830,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Tired,studied,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1731,survey-likert,52,2.0.0,1507564,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Chess,unrelated,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2097,survey-likert,53,2.0.0,1509663,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Cherry,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1964,survey-likert,54,2.0.0,1511630,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sour,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1564,survey-likert,55,2.0.0,1513196,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sweet,critical,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2148,survey-likert,56,2.0.0,1515345,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Door,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2498,survey-likert,57,2.0.0,1517844,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Salty,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,2134,survey-likert,58,2.0.0,1519980,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Ghost,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1930,survey-likert,59,2.0.0,1521912,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Sugar,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,10049,survey-likert,60,2.0.0,1531963,p05ywlxguyt,NA,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0}",NA,NA,NA,NA,"[0,1,2,3,4,5]",NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,6174,html-keyboard-response,61,2.0.0,1538139,p05ywlxguyt,"
    <h2>Speed Memory Game</h2>
    <p>Press <strong>S</strong> if the word was studied.</p>
    <p>Press <strong>N</strong> if it was NOT studied.</p>
    <p>Respond as quickly as possible. (Please note it may be case sensitive)</p>
    <p>Press any key to begin.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1039,html-keyboard-response,62,2.0.0,1539179,p05ywlxguyt,<h1>Table</h1>,s,speed_game,Table,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,63,2.0.0,1539981,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,650,html-keyboard-response,64,2.0.0,1540633,p05ywlxguyt,<h1>Needle</h1>,s,speed_game,Needle,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,65,2.0.0,1541436,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1636,html-keyboard-response,66,2.0.0,1543074,p05ywlxguyt,<h1>Sweet</h1>,s,speed_game,Sweet,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,67,2.0.0,1543877,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,633,html-keyboard-response,68,2.0.0,1544512,p05ywlxguyt,<h1>Mountain</h1>,s,speed_game,Mountain,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,69,2.0.0,1545315,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1448,html-keyboard-response,70,2.0.0,1546764,p05ywlxguyt,<h1>Pin</h1>,n,speed_game,Pin,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,71,2.0.0,1547567,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,607,html-keyboard-response,72,2.0.0,1548175,p05ywlxguyt,<h1>Chair</h1>,s,speed_game,Chair,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,73,2.0.0,1548978,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,709,html-keyboard-response,74,2.0.0,1549689,p05ywlxguyt,<h1>Peak</h1>,s,speed_game,Peak,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,75,2.0.0,1550491,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,770,html-keyboard-response,76,2.0.0,1551263,p05ywlxguyt,<h1>Touch</h1>,n,speed_game,Touch,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,77,2.0.0,1552066,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,714,html-keyboard-response,78,2.0.0,1552782,p05ywlxguyt,<h1>Tired</h1>,s,speed_game,Tired,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,79,2.0.0,1553585,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,626,html-keyboard-response,80,2.0.0,1554212,p05ywlxguyt,<h1>Bed</h1>,s,speed_game,Bed,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,81,2.0.0,1555015,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,593,html-keyboard-response,82,2.0.0,1555609,p05ywlxguyt,<h1>Click N</h1>,n,speed_attention_check,NA,NA,NA,NA,NA,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,1653,html-keyboard-response,83,2.0.0,1557263,p05ywlxguyt,<h1>Couch</h1>,s,speed_game,Couch,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,84,2.0.0,1558066,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,851,html-keyboard-response,85,2.0.0,1558919,p05ywlxguyt,<h1>Smooth</h1>,s,speed_game,Smooth,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,86,2.0.0,1559722,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,687,html-keyboard-response,87,2.0.0,1560410,p05ywlxguyt,<h1>Sleep</h1>,s,speed_game,Sleep,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,88,2.0.0,1561214,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,702,html-keyboard-response,89,2.0.0,1561917,p05ywlxguyt,<h1>Sugar</h1>,n,speed_game,Sugar,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,90,2.0.0,1562720,p05ywlxguyt,<h2 style='color:red;'>Wrong </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,543,html-keyboard-response,91,2.0.0,1563263,p05ywlxguyt,<h1>Thread</h1>,s,speed_game,Thread,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,null,html-keyboard-response,92,2.0.0,1564066,p05ywlxguyt,<h2 style='color:green;'>Correct! </h2>,null,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
NA,594,html-keyboard-response,93,2.0.0,1564662,p05ywlxguyt,<h1>Sour</h1>,s,speed_game,Sour,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv
